TargetID,ProbeID,9993942002_A.AVG_Signal,9993942002_A.Detection Pval,9993942002_A.BEAD_STDERR,9993942002_A.Avg_NBEADS,9993942002_B.AVG_Signal,9993942002_B.Detection Pval,9993942002_B.BEAD_STDERR,9993942002_B.Avg_NBEADS,9993942002_C.AVG_Signal,9993942002_C.Detection Pval,9993942002_C.BEAD_STDERR,9993942002_C.Avg_NBEADS,9993942002_D.AVG_Signal,9993942002_D.Detection Pval,9993942002_D.BEAD_STDERR,9993942002_D.Avg_NBEADS,9993942002_E.AVG_Signal,9993942002_E.Detection Pval,9993942002_E.BEAD_STDERR,9993942002_E.Avg_NBEADS,9993942002_F.AVG_Signal,9993942002_F.Detection Pval,9993942002_F.BEAD_STDERR,9993942002_F.Avg_NBEADS,9993942002_G.AVG_Signal,9993942002_G.Detection Pval,9993942002_G.BEAD_STDERR,9993942002_G.Avg_NBEADS,9993942002_H.AVG_Signal,9993942002_H.Detection Pval,9993942002_H.BEAD_STDERR,9993942002_H.Avg_NBEADS
NEGATIVE,7560280,217.0043,0.1077694,14.18267,34,170.0509,0.547619,12.33189,18,202.4201,0.2155388,17.43674,21,205.8914,0.1679198,11.54191,27,179.0762,0.4110276,12.12493,26,179.7095,0.462406,9.615811,36,191.4619,0.3533835,10.5911,32,198.5181,0.3471178,9.848795,25
NEGATIVE,7560347,186.5476,0.3170426,8.484663,34,164.447,0.6729323,10.54119,31,173.1525,0.5588973,7.849203,34,162.4835,0.7518797,9.030087,32,176.2105,0.452381,10.06045,38,174.3036,0.5676692,8.226022,36,184.3789,0.4373434,7.994832,37,191.5793,0.4385965,11.10208,23
NEGATIVE,7560370,236.8021,0.05764411,10.40117,46,289.2385,0.01253133,13.71348,29,235.2875,0.08145364,11.75783,27,261.3407,0.02130326,15.52155,31,271.3256,0.02005013,13.24625,34,253.4472,0.03634085,11.07157,47,255.9725,0.04511278,16.93985,26,292.4399,0.02130326,23.26451,27
NEGATIVE,7570019,227.1793,0.07894737,15.23829,22,213.1373,0.122807,12.64093,28,240.416,0.07142857,20.71889,23,230.2518,0.0726817,16.47272,23,231.035,0.0726817,9.918758,33,232.6037,0.0764411,16.75985,22,216.6188,0.1491228,16.69048,23,235.9508,0.09649123,15.70759,31
NEGATIVE,7570408,153.5392,0.8759398,6.801034,41,175.5794,0.4586466,7.414951,45,181.6791,0.4110276,11.39796,31,166.6164,0.650376,6.181456,41,162.3002,0.7330827,6.352875,45,182.9423,0.4122807,10.26482,34,175.7618,0.6002506,6.851787,50,191.3475,0.4448622,8.965896,45
NEGATIVE,7570717,172.5834,0.5313283,13.04677,24,160.9453,0.7431078,6.62855,40,173.5156,0.5538847,7.134255,38,148.4129,0.9548872,6.687548,29,179.032,0.4122807,10.40784,34,177.1456,0.518797,8.902772,45,182.3098,0.462406,9.513499,41,194.7402,0.3922306,10.39284,34
NEGATIVE,7610008,166.5878,0.6491228,6.355814,32,182.3209,0.3433584,7.945961,30,158.9682,0.820802,6.611742,32,160.1538,0.7894737,7.057184,47,166.942,0.6403509,7.220822,39,184.5929,0.3822055,9.608403,34,181.7007,0.4699248,8.565185,34,181.3408,0.6290727,7.466469,52
NEGATIVE,7610187,175.7432,0.4736842,10.25222,33,164.2329,0.6779448,9.325298,36,177.7049,0.4862155,10.4123,41,162.858,0.7456141,9.530026,25,163.9752,0.6942356,6.937072,37,169.3185,0.6629072,8.085977,37,165.9595,0.7857143,7.981042,33,184.7607,0.5588973,9.143865,37
NEGATIVE,7610609,183.9634,0.3458647,9.82007,37,185.1138,0.3220551,7.369106,41,208.0069,0.1817043,10.42384,42,189.6923,0.2907268,8.393638,45,201.8531,0.2055138,10.4263,30,186.2443,0.3609022,7.981128,40,204.1344,0.2293233,10.32638,39,205.5589,0.2593985,9.052977,38
NEGATIVE,7610632,145.6923,0.9486216,8.940253,27,167.7272,0.5977443,6.852576,47,162.9701,0.7543859,6.607617,37,181.8076,0.3884712,7.7435,39,169.1383,0.5827067,8.037513,36,164.0122,0.7694235,6.445101,35,168.08,0.7493734,7.726452,30,150.0031,0.9786968,4.436856,25
NEGATIVE,7650093,153.6534,0.8746867,7.126112,45,160.2726,0.7531328,11.68107,27,164.8015,0.7142857,9.372857,31,144.0013,0.9749373,6.675426,40,159.9349,0.7844611,6.361348,31,185.2086,0.3734336,9.269248,37,160.8871,0.858396,7.45838,32,196.1045,0.3784461,10.33218,24
