TargetID,ProbeID,9967500097_A.AVG_Signal,9967500097_A.Detection Pval,9967500097_A.BEAD_STDERR,9967500097_A.Avg_NBEADS,9967500097_B.AVG_Signal,9967500097_B.Detection Pval,9967500097_B.BEAD_STDERR,9967500097_B.Avg_NBEADS,9967500097_C.AVG_Signal,9967500097_C.Detection Pval,9967500097_C.BEAD_STDERR,9967500097_C.Avg_NBEADS,9967500097_D.AVG_Signal,9967500097_D.Detection Pval,9967500097_D.BEAD_STDERR,9967500097_D.Avg_NBEADS,9967500097_E.AVG_Signal,9967500097_E.Detection Pval,9967500097_E.BEAD_STDERR,9967500097_E.Avg_NBEADS,9967500097_F.AVG_Signal,9967500097_F.Detection Pval,9967500097_F.BEAD_STDERR,9967500097_F.Avg_NBEADS,9967500097_G.AVG_Signal,9967500097_G.Detection Pval,9967500097_G.BEAD_STDERR,9967500097_G.Avg_NBEADS,9967500097_H.AVG_Signal,9967500097_H.Detection Pval,9967500097_H.BEAD_STDERR,9967500097_H.Avg_NBEADS
BIOTIN,2900458,16455.2,0,828.3311,30,13616.42,0,419.1476,43,15140.71,0,566.2719,41,13306.93,0,641.3831,36,13384.09,0,364.9283,35,14078.88,0,418.757,41,13871.77,0,669.77,32,12722.06,0,549.4273,39
BIOTIN,7200743,14758.75,0,411.7184,107,13164.5,0,347.5248,109,13094.43,0,308.5869,130,13207.51,0,313.0753,108,13123.11,0,308.3086,105,12675.64,0,309.9283,102,12408.38,0,313.441,114,12294.8,0,284.2978,117
CY3_HYB,730475,444.7911,0,11.76404,118,441.0115,0,13.37939,107,413.961,0,10.21253,115,456.8417,0,12.83574,113,437.2786,0,12.31321,93,424.3984,0,11.37656,111,455.0298,0,14.24298,122,476.9448,0,16.41373,116
CY3_HYB,1400044,5717.117,0,200.801,90,5406.53,0,161.4542,92,5058.76,0,153.9143,84,5501.239,0,200.2066,77,5017.854,0,134.7926,93,4970.346,0,143.2509,79,5221.295,0,226.4253,70,5414.46,0,184.9958,73
CY3_HYB,2600040,3856.904,0,121.8678,75,3724.073,0,119.8884,66,3591.208,0,131.6809,65,3574.389,0,96.77673,61,3478.867,0,94.13024,75,3672.894,0,100.4768,68,3587.361,0,100.8012,91,3365.976,0,96.36935,69
CY3_HYB,5820544,469.7035,0,35.66072,37,394.2941,0,30.96491,33,346.5235,0,21.86111,37,400.4099,0,22.83965,30,353.3572,0,25.46895,29,382.411,0,32.44136,25,390.1152,0,24.45289,39,350.4243,0,17.528,33
CY3_HYB,6450180,15511.25,0,424.2183,100,13957.18,0,405.1161,103,13999.81,0,320.1914,136,14143.96,0,337.4774,100,14331.11,0,323.242,119,13570.81,0,357.0775,104,13182.5,0,323.9085,94,13112.9,0,280.7444,122
HOUSEKEEPING,10220,79.08579,0.1616541,3.781901,86,72.304,0.2944862,2.421283,108,89.47298,0.0726817,3.687119,99,79.63081,0.2518797,2.855494,101,71.75507,0.2593985,2.809696,102,90.76247,0.1077694,3.66005,114,83.85133,0.160401,3.386212,101,97.71631,0.0726817,5.206378,90
HOUSEKEEPING,520379,39229.18,0,776.816,103,35021.7,0,796.8856,122,34476.31,0,629.4646,131,36605.18,0,843.3719,106,31250.98,0,673.5074,102,32472.06,0,691.7535,95,34175.63,0,603.0871,127,35589.2,0,734.7072,126
HOUSEKEEPING,1010296,1682.104,0,65.59395,42,1662.481,0,72.24537,44,1601.286,0,57.91174,34,1739.831,0,67.00819,34,1194.487,0,48.49218,27,1601.954,0,58.40456,44,1118.596,0,57.6195,34,1169.023,0,76.4929,28
HOUSEKEEPING,1030133,1014.126,0,21.7936,110,911.5732,0,25.1437,96,1217.855,0,29.85157,103,1447.888,0,35.83184,98,944.9807,0,18.31329,132,1277.427,0,29.18008,122,816.9827,0,20.56131,101,864.2739,0,30.42778,80
HOUSEKEEPING,1690689,48633.29,0,844.0065,123,45809.59,0,764.4577,109,44563.01,0,865.5011,99,44536.15,0,890.3647,117,44121.16,0,828.9178,123,42455.14,0,1059.518,87,44394.57,0,803.1126,125,41709.93,0,900.6343,114
HOUSEKEEPING,2260521,18064.13,0,509.3955,79,24826.76,0,665.9294,77,15281.83,0,535.4548,76,21085.82,0,564.1767,73,11977.5,0,395.7703,73,17802.99,0,476.656,87,13320.21,0,383.1279,74,16982.79,0,458.5692,85
HOUSEKEEPING,2470521,37629.59,0,891.0875,116,31858.42,0,735.1788,117,32002.34,0,977.6343,98,35903.31,0,799.966,117,28156.15,0,626.0977,103,31562.99,0,687.9847,99,29865.41,0,546.0389,97,32169.61,0,747.7233,107
HOUSEKEEPING,2680722,149.3763,0.001253133,5.677471,114,128.777,0.002506266,4.471892,113,217.5377,0,7.396801,130,129.8475,0.01002506,5.405782,88,191.2657,0,5.576577,119,149.5279,0.002506266,5.554152,88,197.4953,0,8.513343,96,208.4861,0,8.924111,92
HOUSEKEEPING,4640114,23560.66,0,525.2723,71,22902.7,0,523.2062,78,20912.66,0,447.043,81,22142.8,0,579.2736,77,20916.45,0,558.3265,77,19872.1,0,499.8189,70,23860.81,0,562.7242,75,23428.47,0,556.6982,75
HOUSEKEEPING,4830750,104.4666,0.03132832,4.072896,105,108.1055,0.02631579,4.617116,100,99.12247,0.03508772,3.519786,114,114.5577,0.02756892,4.886579,97,104.6599,0.01002506,5.342432,100,107.5957,0.03383459,4.232903,88,98.50456,0.05137845,3.446424,107,114.0229,0.02380952,6.187336,83
HOUSEKEEPING,5870154,16556.91,0,299.6726,110,14785.18,0,330.7963,119,15912.35,0,341.3137,111,16924.4,0,306.946,128,12056.22,0,297.2005,95,15096.59,0,303.0464,113,13193.12,0,301.9643,104,13039.23,0,294.2625,119
HOUSEKEEPING,5960379,34450.76,0,1186.531,41,38447.39,0,1307.71,41,24934.76,0,733.2724,45,36622.41,0,1669.878,31,22474.04,0,703.5677,25,31229.39,0,1385.893,38,24709.33,0,635.5728,41,28119.74,0,1084.174,25
