TargetID,ProbeID,3999279026_A.AVG_Signal,3999279026_A.Detection Pval,3999279026_A.BEAD_STDERR,3999279026_A.Avg_NBEADS,3999279026_B.AVG_Signal,3999279026_B.Detection Pval,3999279026_B.BEAD_STDERR,3999279026_B.Avg_NBEADS,3999279026_C.AVG_Signal,3999279026_C.Detection Pval,3999279026_C.BEAD_STDERR,3999279026_C.Avg_NBEADS,3999279026_D.AVG_Signal,3999279026_D.Detection Pval,3999279026_D.BEAD_STDERR,3999279026_D.Avg_NBEADS,3999279026_E.AVG_Signal,3999279026_E.Detection Pval,3999279026_E.BEAD_STDERR,3999279026_E.Avg_NBEADS,3999279026_F.AVG_Signal,3999279026_F.Detection Pval,3999279026_F.BEAD_STDERR,3999279026_F.Avg_NBEADS,3999279026_G.AVG_Signal,3999279026_G.Detection Pval,3999279026_G.BEAD_STDERR,3999279026_G.Avg_NBEADS,3999279026_H.AVG_Signal,3999279026_H.Detection Pval,3999279026_H.BEAD_STDERR,3999279026_H.Avg_NBEADS
NEGATIVE,6040500,228.5143,0.122807,13.61791,42,225.7133,0.08646616,22.4655,29,211.7336,0.1390978,12.17211,30,214.2391,0.1340852,14.14324,33,241.5111,0.1428571,15.65393,29,261.9428,0.06390978,17.26224,34,246.5862,0.07017544,16.3768,40,251.7377,0.08646616,14.57868,24
NEGATIVE,6040669,148.1238,0.9411027,7.169501,32,169.6786,0.5438597,10.70952,24,163.7536,0.6328321,9.091858,21,152.3844,0.8446115,9.764478,27,174.3269,0.8220552,9.34553,32,157.6241,0.9887218,6.730718,32,183.8379,0.4498747,9.621063,29,161.3622,0.9360902,11.90542,31
NEGATIVE,6040670,210.8284,0.1992481,11.23348,39,197.3465,0.2230576,14.85496,23,181.6001,0.3446115,8.451676,39,188.7564,0.2794486,12.85068,27,226.8398,0.2243108,14.82749,37,223.5312,0.2330827,11.33832,28,204.6207,0.2280702,9.434335,38,227.1637,0.160401,11.86461,32
NEGATIVE,6040736,186.7576,0.3997494,9.391897,28,279.1553,0.02005013,45.96182,16,222.3113,0.1015038,16.24116,30,220.2147,0.112782,13.25986,26,207.2724,0.3909774,14.80382,25,246.6467,0.1140351,18.07092,30,190.2624,0.3546366,14.36123,33,210.9621,0.2631579,14.10495,26
NEGATIVE,6060541,165.6153,0.7293233,9.61442,36,150.38,0.8571429,7.118439,29,164.1432,0.6240602,9.558846,27,156.9644,0.783208,6.569973,34,188.8468,0.6065163,14.78871,34,193.7147,0.5626566,7.280294,29,196.338,0.2869674,10.72571,36,186.8438,0.5639098,7.107305,34
NEGATIVE,6100075,146.8349,0.9498747,7.956035,25,145.7988,0.906015,5.266137,31,140.0779,0.9448621,7.025879,24,160.2631,0.7092732,10.61541,28,280.9351,0.05263158,27.42068,40,203.798,0.4097744,11.52526,44,162.2394,0.8383459,9.081127,40,174.2476,0.7819549,8.946518,33
NEGATIVE,6100288,165.1429,0.7380952,8.805908,37,132.1557,0.9862155,11.04365,26,154.9029,0.7669173,7.201073,31,155.7705,0.7982456,10.45407,29,182.0096,0.7055138,13.26149,35,171.8738,0.9110276,8.589398,35,144.7019,0.991228,9.784942,28,167.4547,0.8634085,8.109065,30
NEGATIVE,6100397,158.9471,0.8283208,8.38245,33,159.5898,0.7142857,8.394606,32,152.3851,0.8007519,7.842353,38,166.2786,0.5864662,7.573018,40,169.7875,0.8796992,9.414177,33,188.2558,0.6528822,9.467177,36,168.1652,0.7255639,8.883993,35,170.5727,0.8295739,9.936336,32
NEGATIVE,6100441,175.2563,0.5639098,9.165156,43,155.5178,0.7882205,8.735275,33,157.1156,0.7330827,8.384935,39,170.8805,0.5175439,10.25686,36,201.6187,0.4498747,12.05171,41,178.6007,0.8270677,7.599295,41,176.0107,0.5802005,9.228984,42,188.0275,0.5451128,9.24384,42
NEGATIVE,6110458,163.0869,0.7719298,8.08588,34,140.0137,0.9461153,6.413231,29,162.1019,0.6629072,9.466515,37,173.1889,0.481203,11.43569,33,178.8485,0.7593985,12.42113,33,201.848,0.4423559,11.73028,37,180.5909,0.5025063,9.291581,34,181.4808,0.6704261,9.861405,48
NEGATIVE,6110682,192.9201,0.3383459,14.3383,28,157.1074,0.7581454,8.791693,24,169.9506,0.5037594,9.677595,34,158.5583,0.7406015,9.785208,40,236.4818,0.1629073,20.712,44,187.0631,0.6741855,11.21351,34,158.5867,0.8947368,7.713727,32,175.9512,0.7543859,11.84343,34
NEGATIVE,6110722,173.2328,0.6027569,14.86587,29,145.5945,0.9110276,7.259069,32,173.4437,0.4536341,13.09291,34,156.1228,0.7932331,9.216521,32,211.8152,0.3383459,14.2412,35,181.8554,0.7731829,11.54938,35,177.6509,0.5501253,8.749964,42,187.2834,0.556391,9.332406,46
NEGATIVE,6110725,191.2697,0.3533835,12.95565,25,189.7336,0.2819549,12.5028,26,198.2452,0.1917293,11.89022,37,180.136,0.3671679,8.259272,42,211.8535,0.3370927,14.975,37,234.4949,0.1641604,18.22153,34,186.2174,0.406015,9.645408,46,192.1669,0.481203,8.638535,33
NEGATIVE,6130019,196.431,0.3045113,12.08382,27,215.6915,0.1215539,18.3888,25,236.0238,0.05889724,10.8356,23,225.9971,0.09649123,20.17297,30,220.068,0.2669173,13.70641,33,171.9435,0.9085213,12.26212,28,188.9694,0.3759398,11.38288,36,198.2664,0.3972431,15.30165,28
NEGATIVE,6130408,219.644,0.160401,10.00785,39,192.4876,0.2568922,8.392446,39,213.1945,0.131579,9.347229,43,210.9228,0.141604,10.97975,41,240.026,0.1491228,15.3776,33,237.9569,0.1453634,12.07568,36,193.6498,0.3195489,9.991626,40,253.9692,0.0764411,13.76184,38
NEGATIVE,6130477,172.2724,0.622807,8.64996,37,168.149,0.5651629,8.464338,32,178.6431,0.3847118,11.2655,38,165.7999,0.6015037,8.831039,42,217.2834,0.2869674,14.19786,39,220.1491,0.2581454,12.77349,36,173.5128,0.6240602,6.87274,32,203.4453,0.3333333,13.16881,29
NEGATIVE,6180286,221.6352,0.1528822,19.91243,22,186.7684,0.3157895,12.05343,30,163.2124,0.641604,9.974182,31,178.8491,0.39599,9.386035,26,227.0592,0.2205514,13.39877,40,188.5548,0.6441103,8.271482,26,187.9814,0.3884712,10.77963,35,217.524,0.2293233,12.32621,40
NEGATIVE,6180600,226.5022,0.1303258,16.80426,28,233.4549,0.07393484,12.5989,22,232.6651,0.0689223,16.2649,26,276.0722,0.02255639,23.08631,32,289.0412,0.04385965,26.49341,27,239.2975,0.1365915,13.18863,35,207.9869,0.2042606,12.33711,26,240.1868,0.1102757,15.76887,28
NEGATIVE,6200168,161.5157,0.7944862,8.549645,35,193.7623,0.2518797,8.808496,26,178.7549,0.3834586,9.837761,27,180.1046,0.368421,7.971582,39,193.2739,0.5263158,11.77429,39,167.1216,0.9511278,7.152586,38,174.6971,0.6065163,8.966637,35,208.9065,0.2844611,9.71612,53
NEGATIVE,6200243,296.4258,0.01253133,19.24662,28,220.6615,0.10401,24.77229,12,307.2702,0.006265664,22.93256,33,296.381,0.0112782,32.42041,21,375.8362,0.007518797,35.92447,30,355.4313,0.00877193,29.25395,24,254.0611,0.04636591,13.22877,24,300.5404,0.02005013,27.72503,18
NEGATIVE,6200411,280.355,0.02380952,23.01347,25,240.8957,0.05639098,12.56807,39,256.1307,0.02130326,17.12962,31,241.6398,0.07017544,14.61719,38,251.6453,0.1052632,13.00271,28,290.0985,0.03132832,17.88287,28,276.5061,0.01879699,21.62153,24,307.7162,0.01754386,27.24297,27
NEGATIVE,6220241,214.2106,0.1854637,13.25737,34,183.0181,0.3508772,6.867953,37,183.2831,0.320802,14.71159,24,181.5407,0.3446115,9.904448,35,213.7004,0.3270677,12.36009,32,208.8572,0.3558897,9.905128,29,215.2985,0.1591479,11.10045,41,261.1678,0.06015038,16.78522,43
NEGATIVE,6220441,177.7102,0.5225564,7.896675,34,167.466,0.5726817,10.1265,40,152.0896,0.8057644,7.9082,43,163.0226,0.6428571,8.481814,33,210.6806,0.3571429,11.74853,35,183.2097,0.7568922,9.081032,40,180.7684,0.5,9.642905,32,177.5874,0.7230576,8.487249,41
NEGATIVE,6220754,158.1294,0.8370928,7.824863,36,148.8168,0.8734336,7.177292,26,156.7388,0.7380952,8.854403,33,151.7035,0.8521304,7.742789,29,180.7657,0.7318296,10.39106,47,190.3402,0.6140351,11.96712,29,174.006,0.6152882,7.107143,47,179.6118,0.6929824,9.175551,40
